"Campagna","CodStaz","codice_aziendale","Reg","Prov_","Stazione","cod_istat","Comune","Linea fisica","Saliti7-9","Discesi7-9","Corse7-9","Saliti24H","Corse24H","Saliti_S","Saliti_R","Saliti_RE","Corse_S","Corse_R","Corse_RE","Anno","tipo_giorno","Calendario","POINT_X","POINT_Y","Location"
"C_Luglio2023","2.711","S01101","LO","CO","Asso","13013","Asso","Seveso - Asso","70","0","2","270","33","0","270","0","0","33","0","2023","Feriale","estivo","9.269120449","45.854922626","POINT (9.269120449 45.854922626)"
"C_nov 2020","167","S01452","LO","CO","BRENNA-ALZATE","13029","Brenna","ALBATE-MOLTENO","10","0","3","10","13","0","10","0","0","13","0","2020","Feriale","Invernale","9.183346262","4.575412075","POINT (9.183346262 45.75412075)"
"C_nov 2015","79","S01033","LO","MI","LEGNANO","15118","Legnano","DOMODOSSOLA-MILANO","1950","660","16","5580","115","3350","340","1900","74","6","35","2015","Fer","Invernale","8.910667666","4.559373533","POINT (8.910667666 45.59373533)"
"C_nov 2016","74","S01027","LO","VA","VERGIATE","12138","Vergiate","DOMODOSSOLA-MILANO","170","70","5","450","33","0","450","0","0","33","0","2016","Fer","Invernale","8.693230518","45.717200688","POINT (8.693230518 45.717200688)"
"C_nov 2020","114","S01207","LO","VA","GAZZADA-SCHIANNO-MORAZZ.","12073","Gazzada Schianno","PORTO C.-GALLARATE","40","40","7","170","63","160","0","10","62","0","1","2020","Feriale","Invernale","8.824846806","45.778700868","POINT (8.824846806 45.778700868)"
"C_nov 2019","198","S01514","LO","LC","OLGIATE CALCO-BRIVIO","97058","Olgiate Molgora","TIRANO-MILANO Mz-Lc","580","70","8","1420","67","1420","0","0","67","0","0","2019","Fer","Invernale","0.940379608","45.729243447","POINT (9.40379608 45.729243447)"
"C_Luglio2023","121","S01312","LO","CO","CUCCIAGO","13084","Cucciago","CHIASSO-MILANO","90","20","8","260","71","260","0","0","71","0","0","2023","Feriale","estivo","9.082243395","45.740890259","POINT (9.082243395 45.740890259)"
"C_Luglio2023","332","S02088","VE","VR","PESCHIERA DEL GARDA","23059","Peschiera del Garda","MILANO-VENEZIA","280","400","5","2470","36","0","0","2470","0","0","36","2023","Feriale","estivo","1.070247103","4.543838223","POINT (10.70247103 45.43838223)"
"C_nov 2018","78","S01031","LO","VA","BUSTO ARSIZIO","12026","Busto Arsizio","DOMODOSSOLA-MILANO","1920","890","24","6260","177","2930","1230","2110","92","34","51","2018","Fer","Invernale","8.865063882","45.616237821","POINT (8.865063882 45.616237821)"
"C_Novembre2023","173","S01460","LO","LC","OGGIONO","97057","Oggiono","MONZA-LECCO","250","330","8","870","41","730","150","0","36","5","0","2023","Feriale","Invernale","9.337510786","45.789065364","POINT (9.337510786 45.789065364)"
"C_Luglio2023","2.780","S01079","LO","MI","Milano Bruzzano","15146","Milano","Milano Nord Bovisa - Seve","110","70","16","530","133","530","0","0","133","0","0","2023","Feriale","estivo","9.172814019","45.533621361","POINT (9.172814019 45.533621361)"
"C_nov 2017","331","S02084","LO","BS","DESENZANO DEL GARDA-SIR.","17067","Desenzano del Garda","MILANO-VENEZIA","470","180","6","1540","34","0","60","1490","0","2","32","2017","Fer","Invernale","10.536345381","45.462760508","POINT (10.536345381 45.462760508)"
"C_nov 2021","272","S01844","LO","BS","VISANO","17203","Visano","BRESCIA-PARMA","40","10","4","80","25","0","80","0","0","25","0","2021","Feriale","Invernale","10.363129196","45.315389802","POINT (10.363129196 45.315389802)"
"C_nov 2022","266","S01829","LO","LO","S.STEFANO LODIGIANO","98051","Santo Stefano Lodigiano","MILANO-BOLOGNA","30","10","4","90","34","0","90","0","0","34","0","2022","Feriale","Invernale","9.723640779","45.122172959","POINT (9.723640779 45.122172959)"
"C_Luglio2023","181","S01484","LO","MI","MACHERIO CANONICA","108029","Macherio","MONZA-LECCO","60","10","6","100","44","100","10","10","41","1","2","2023","Feriale","estivo","9.286771042","45.645615415","POINT (9.286771042 45.645615415)"
